date,RH2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M_mean_3,RH2M_mean_5,RH2M_mean_7,RH2M_mean_14,rainfall_sum_3,rainfall_sum_5,rainfall_sum_7,temp_std_3,temp_std_5,RH2M_diff_1,RH2M_diff_3,rainfall_diff_3,RH2M_accel,RH2M_trend_3,high_humidity_flag,humidity_streak,rainfall_spike,rainfall_onset,temp_stability,state,risk_raw,pre_risk,variety_susceptibility,risk
2022-11-20,65.41,0.0,27.67,27.93,27.39,63.93666666666664,66.46199999999999,68.3157142857143,69.64285714285714,0.0,0.0,0.2899999999999565,0.2987194893760176,0.22356207191649335,3.809999999999995,-0.9300000000000068,0.0,7.009999999999991,0.3050000000000059,0,0,False,False,True,DRY,0,0,0,0
2022-11-21,56.65,0.0,27.56,28.03,27.11,61.21999999999997,62.96,66.17999999999999,68.16214285714285,0.0,0.0,0.15999999999995648,0.2910326442168068,0.3116889475095338,-8.759999999999998,-8.149999999999999,0.0,-12.569999999999993,-2.475000000000013,0,0,False,False,True,DRY,0,0,0,0
2022-11-22,63.63,0.0,27.24,27.9,26.49,61.89666666666665,62.418000000000006,64.6557142857143,67.53928571428571,0.0,0.0,0.0,0.22338307903675977,0.4096705993839569,6.980000000000004,2.030000000000001,0.0,15.740000000000002,-0.8899999999999979,0,0,False,False,True,DRY,0,0,0,0
2022-11-23,66.47,0.0,27.89,28.32,27.32,62.24999999999998,62.751999999999995,63.55714285714286,67.125,0.0,0.0,0.0,0.3250128202598291,0.33019691094801984,2.8399999999999963,1.0600000000000023,0.0,-4.140000000000008,4.909999999999999,0,0,False,False,True,DRY,0,0,0,0
2022-11-24,67.2,0.0,28.04,28.27,27.79,65.76666666666664,63.872,63.68,66.9342857142857,0.0,0.0,0.0,0.4252450274055944,0.30894983411488525,0.730000000000004,10.550000000000004,0.0,-2.1099999999999923,1.7850000000000095,0,0,False,False,True,DRY,0,0,0,0
2022-11-25,69.27,0.0,27.95,28.16,27.63,67.64666666666665,64.644,64.31857142857143,67.07285714285715,0.0,0.0,0.0,0.07549834435110352,0.3312551886380228,2.069999999999993,5.6399999999999935,0.0,1.3399999999999892,1.3999999999999961,0,0,False,False,True,DRY,0,0,0,0
2022-11-26,76.68,0.03,28.04,28.35,27.74,71.04999999999997,68.65,66.47285714285714,67.66,0.03000000000001421,0.03000000000001421,0.029999999999956478,0.0519615242245501,0.3370014836756752,7.410000000000011,10.210000000000008,0.03,5.340000000000018,4.74,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-11-27,78.7,0.35,27.66,27.88,27.45,74.88333333333331,71.66400000000002,68.37142857142857,68.34357142857144,0.3800000000000142,0.3800000000000142,0.3799999999999565,0.19857828011421985,0.15662056059024,2.019999999999996,11.5,0.35,-5.390000000000015,4.714999999999998,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-11-28,75.41,0.0,27.52,27.72,27.27,76.92999999999998,73.452,71.05142857142857,68.61571428571429,0.3800000000000142,0.3800000000000142,0.3799999999999565,0.2690724809411854,0.23815961034483865,-3.2900000000000063,6.140000000000001,0.0,-5.310000000000002,-0.6350000000000082,0,0,False,False,True,DRY,0,0,0,0
2022-11-29,71.41,0.0,26.94,27.16,26.78,75.1733333333333,74.29400000000001,72.16285714285713,68.40928571428572,0.3500000000000142,0.3800000000000142,0.3799999999999565,0.3817503547258606,0.43568337126819295,-4.0,-5.27000000000001,-0.03,-0.7099999999999937,-3.6450000000000182,0,0,False,False,True,DRY,0,0,0,0
2022-11-30,67.17,0.0,27.08,27.35,26.77,71.32999999999998,73.874,72.26285714285714,67.91,0.0,0.3800000000000142,0.3799999999999565,0.3026549190085348,0.44555583264011867,-4.239999999999995,-11.530000000000001,-0.35,-0.23999999999999488,-4.120000000000006,0,0,False,False,True,DRY,0,0,0,0
2022-12-01,75.16,0.02,27.56,27.92,27.09,71.24666666666663,73.57,73.39999999999999,68.54,0.02000000000001421,0.3700000000000142,0.3999999999999565,0.32516662395361373,0.3201874450999535,7.989999999999995,-0.25,0.02,12.22999999999999,1.8750000000000038,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-12-02,73.87,0.01,27.66,27.79,27.4,72.06666666666665,72.604,74.05714285714285,69.18785714285714,0.03000000000001421,0.03000000000001421,0.4099999999999565,0.3100537587795038,0.3201874450999535,-1.289999999999992,2.460000000000008,0.01,-9.279999999999987,3.3499999999999934,0,0,False,False,True,DRY,0,0,0,0
2022-12-03,75.48,0.0,27.41,27.73,27.09,74.83666666666664,72.61800000000001,73.88571428571429,70.17928571428573,0.03000000000001421,0.03000000000001421,0.3799999999999565,0.12583057392087083,0.309354165964574,1.6099999999999994,8.310000000000002,0.0,2.8999999999999915,0.1599999999999945,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
